cohort,cohort_label,base_ta_c,base_rh_pct,mean_pmv_delta_open_minus_cellular,pmv_range_delta_open_minus_cellular,spatial_std_delta_open_minus_cellular,worst_ppd_delta_open_minus_cellular,perimeter_core_gap_delta_open_minus_cellular
realistic_male,Realistic Male Office,28.0,75.0,0.012,0.436,0.095,19.601,0.163
female_light,Female Light Office,28.0,75.0,0.018,0.57,0.109,17.141,0.211
older_mixed,Older Mixed Office,28.0,75.0,0.014,0.338,0.041,15.251,0.192
older_male_formal,Older Male Formal,28.0,75.0,0.013,0.462,0.104,19.929,0.173
older_female_light,Older Female Light,28.0,75.0,0.019,0.625,0.114,9.974,0.231
realistic_mixed,Realistic Mixed Office,28.0,80.0,0.017,0.305,0.024,15.112,0.19
default_male_35,Default Male Baseline,28.0,80.0,0.012,0.403,0.11,19.793,0.16
realistic_male,Realistic Male Office,28.0,80.0,0.012,0.438,0.095,19.732,0.163
female_light,Female Light Office,28.0,80.0,0.019,0.57,0.11,18.455,0.212
older_mixed,Older Mixed Office,28.0,80.0,0.014,0.343,0.042,15.862,0.193
older_male_formal,Older Male Formal,28.0,80.0,0.013,0.462,0.104,20.405,0.173
older_female_light,Older Female Light,28.0,80.0,0.02,0.625,0.115,13.016,0.231
