PMV,PPD
2.01,77.21166548321594
2.0199999999999996,77.65741514207807
2.0300000000000002,78.09899636266387
2.04,78.53634485329877
2.05,78.96939827422986
2.0599999999999996,79.39809627806659
2.0700000000000003,79.82238054866785
2.08,80.24219483841784
2.09,80.65748500383577
2.0999999999999996,81.06819903946528
2.1100000000000003,81.47428710999199
2.12,81.87570158053938
2.13,82.27239704509574
2.1399999999999997,82.66433035302606
2.1500000000000004,83.05146063362645
2.16,83.43374931868
2.17,83.81116016297672
2.1799999999999997,84.18365926276114
2.1900000000000004,84.5512150720758
2.2,84.91379841697014
2.21,85.2713825075485
2.2199999999999998,85.62394294783253
2.2300000000000004,85.97145774341786
2.24,86.3139073069067
2.25,86.65127446110246
2.26,86.98354443995457
2.2699999999999996,87.31070488724586
2.2800000000000002,87.63274585301798
2.29,87.94965978773327
2.3,88.26144153417609
2.3099999999999996,88.56808831709841
2.3200000000000003,88.86959973061971
2.33,89.16597772339304
2.34,89.45722658155431
2.3499999999999996,89.74335290947377
2.3600000000000003,90.02436560833314
2.37,90.30027585255486
2.38,90.57109706411376
2.3899999999999997,90.8368448847643
2.4000000000000004,91.0975371462203
2.41,91.3531938383272
2.42,91.60383707527048
2.4299999999999997,91.84949105986622
2.4400000000000004,92.09018204598418
2.45,92.32593829915525
2.46,92.55679005541975
2.4699999999999998,92.78276947847435
2.4800000000000004,93.00391061517922
2.49,93.220249349489
2.5,93.43182335487431
2.51,93.6386720453022
2.5199999999999996,93.8408365248467
2.5300000000000002,94.03835953600282
2.54,94.2312854067787
2.55,94.41965999664369
2.5599999999999996,94.60353064141012
2.5700000000000003,94.78294609712984
2.58,94.9579564830866
2.59,95.12861322396768
2.5999999999999996,95.29496899129796
2.6100000000000003,95.45707764422208
2.62,95.61499416971944
2.63,95.76877462233884
2.6399999999999997,95.9184760635385
2.6500000000000004,96.06415650071872
2.66,96.20587482603325
2.67,96.34369075506652
2.6799999999999997,96.47766476546222
2.6900000000000004,96.60785803558942
2.7,96.7343323833307
2.71,96.85715020507695
2.7199999999999998,96.9763744150114
2.7300000000000004,97.09206838476508
2.74,97.20429588352398
2.75,97.31312101866727
2.76,97.41860817701351
2.7699999999999996,97.52082196675055
2.7800000000000002,97.61982716012268
2.79,97.71568863694627
2.8,97.80847132902322
2.8099999999999996,97.89824016551889
2.8200000000000003,97.98506001936889
2.83,98.06899565477615
2.84,98.1501116758576
2.8499999999999996,98.22847247649618
2.8600000000000003,98.30414219145155
2.87,98.37718464877965
2.88,98.44766332360828
2.8899999999999997,98.51564129331253
2.9000000000000004,98.58118119413083
2.91,98.64434517925923
2.92,98.70519487845795
2.9299999999999997,98.76379135920104
2.9400000000000004,98.82019508939685
2.95,98.87446590170309
2.96,98.92666295945759
2.9699999999999998,98.97684472424179
2.9800000000000004,99.02506892509112
2.99,99.07139252936294
3.0,99.11587171526925
