met,Ta,Tr,RH,v,thermal_load,PMV,PPD,pmv_factor
0.8,26.0,18.0,70.0,0.2,-34.82460370767017,-2.952091122809115,98.88555047167634,0.08477027183395952
0.8,26.0,22.0,30.0,0.05,-25.349657388988085,-2.1488973477622606,83.00901044302125,0.08477027183395952
0.8,26.0,22.0,30.0,0.1,-26.502295033546126,-2.2466067542175003,86.53736815602242,0.08477027183395952
0.8,26.0,22.0,30.0,0.2,-30.404022563737534,-2.5773572575738695,94.91213112230936,0.08477027183395952
0.8,26.0,22.0,50.0,0.05,-22.77227326574397,-1.9304117950143254,73.52362353482916,0.08477027183395952
0.8,26.0,22.0,50.0,0.1,-23.924910910302025,-2.0281212014695664,78.01635314929047,0.08477027183395952
0.8,26.0,22.0,50.0,0.2,-27.82663844049342,-2.3588717048259347,89.99291468372785,0.08477027183395952
0.8,26.0,22.0,70.0,0.05,-20.194889142499868,-1.7119262422663915,62.389184782656564,0.08477027183395952
0.8,26.0,22.0,70.0,0.1,-21.34752678705791,-1.8096356487216314,67.51690105183366,0.08477027183395952
0.8,26.0,22.0,70.0,0.2,-25.249254317249303,-2.1403861520779994,82.67936887835984,0.08477027183395952
0.8,26.0,26.0,30.0,0.05,-14.892096214345024,-1.2624070442675073,38.351016769484545,0.08477027183395952
0.8,26.0,26.0,30.0,0.1,-15.764951742897452,-1.3363992446946709,42.15505056804283,0.08477027183395952
0.8,26.0,26.0,30.0,0.2,-20.44672232091873,-1.7332742092577686,63.524908396780255,0.08477027183395952
0.8,26.0,26.0,50.0,0.05,-12.314712091100908,-1.043921491519572,28.0051045195828,0.08477027183395952
0.8,26.0,26.0,50.0,0.1,-13.187567619653336,-1.1179136919467358,31.338239992422146,0.08477027183395952
